Years,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2022,2.778175E+11,6.3618E+10,4.589498E+11,1.652206E+11,3.5981027E+12,4.843715E+11,3.218446E+11,8.75248E+10,1.623144E+11,1.3890697E+12,7.556979E+11,9.82188E+10,1.095465E+11,1.0333101E+12,4.557502E+11,2.311078E+11,2.106705E+11,2.603041E+11,2.814293E+11,8.44975E+10,4.701871E+11,6.883916E+11,6.206956E+11,4.464995E+11,1.387397E+11,3.899312E+11,6.50145E+10,1.61702E+11,2.159178E+11,1.054144E+11,7.454222E+11,1.221148E+11,2.0531797E+12,7.300724E+11,7.32671E+10,8.226697E+11,2.405343E+11,2.991255E+11,9.230888E+11,7.14022E+10,2.958805E+11,6.75707E+10,4.757551E+11,2.3559597E+12,2.481763E+11,4.06171E+10,6.493926E+11,7.255135E+11,9.55884E+10,4.017915E+11,4.74325E+10
2021,2.541097E+11,5.73494E+10,4.200267E+11,1.486761E+11,3.3732407E+12,4.363595E+11,2.983952E+11,8.116E+10,1.536705E+11,1.2555583E+12,6.916269E+11,9.10961E+10,9.62828E+10,9.456738E+11,4.129752E+11,2.168602E+11,1.913806E+11,2.37182E+11,2.585713E+11,7.79633E+10,4.439299E+11,6.413322E+11,5.722058E+11,4.124586E+11,1.273077E+11,3.58572E+11,5.86998E+10,1.462854E+11,1.944866E+11,9.96733E+10,6.829459E+11,1.095828E+11,1.9012965E+12,6.621208E+11,6.35596E+10,7.566172E+11,2.153363E+11,2.721909E+11,8.444965E+11,6.65709E+10,2.698025E+11,6.16847E+10,4.271255E+11,2.0517686E+12,2.253403E+11,3.71038E+10,6.049576E+11,6.774895E+11,8.54342E+10,3.686113E+11,4.15102E+10
2020,2.308921E+11,5.04752E+10,3.820723E+11,1.339691E+11,3.0201734E+12,3.912633E+11,2.762233E+11,7.58186E+10,1.4472E+11,1.1167268E+12,6.254257E+11,8.25355E+10,8.59278E+10,8.569429E+11,3.737816E+11,1.969829E+11,1.775809E+11,2.168656E+11,2.325278E+11,7.074E+10,4.10931E+11,5.851503E+11,5.201053E+11,3.768144E+11,1.151234E+11,3.302499E+11,5.23558E+10,1.345808E+11,1.725626E+11,8.83377E+10,6.200859E+11,9.879E+10,1.7408047E+12,5.989159E+11,5.44229E+10,6.843825E+11,1.900636E+11,2.479667E+11,7.716132E+11,6.07706E+10,2.453595E+11,5.56812E+10,3.790071E+11,1.7899334E+12,2.021334E+11,3.40186E+10,5.569926E+11,6.129691E+11,7.65479E+10,3.405911E+11,3.63304E+10
2019,2.315619E+11,5.47282E+10,3.723935E+11,1.315783E+11,3.0426941E+12,3.945347E+11,2.885363E+11,7.69237E+10,1.439908E+11,1.1113922E+12,6.379925E+11,9.19127E+10,8.28472E+10,8.895401E+11,3.811323E+11,1.957087E+11,1.765644E+11,2.184947E+11,2.554819E+11,6.86904E+10,4.203713E+11,5.899043E+11,5.32217E+11,3.839566E+11,1.142344E+11,3.324858E+11,5.19254E+10,1.318669E+11,1.821863E+11,8.73382E+10,6.376304E+11,1.020275E+11,1.787666E+12,5.94521E+11,5.91992E+10,6.971668E+11,2.041925E+11,2.472331E+11,7.998888E+11,6.16428E+10,2.459872E+11,5.40013E+10,3.801285E+11,1.8587578E+12,1.965389E+11,3.42308E+10,5.577644E+11,5.952318E+11,7.93256E+10,3.452364E+11,3.9428E+10
2018,2.238593E+11,5.48996E+10,3.518795E+11,1.275357E+11,2.8972007E+12,3.722121E+11,2.79923E+11,7.21683E+10,1.397225E+11,1.0572554E+12,6.023664E+11,9.03308E+10,7.73954E+10,8.65661E+11,3.731968E+11,1.915166E+11,1.72343E+11,2.085586E+11,2.566778E+11,6.54771E+10,4.108122E+11,5.630543E+11,5.202451E+11,3.720113E+11,1.122017E+11,3.181535E+11,5.09169E+10,1.270155E+11,1.702576E+11,8.38698E+10,6.141065E+11,9.7268E+10,1.6976614E+12,5.678362E+11,5.92487E+10,6.671156E+11,2.027125E+11,2.371137E+11,7.739774E+11,5.92908E+10,2.332514E+11,5.22993E+10,3.630555E+11,1.8093967E+12,1.844575E+11,3.30668E+10,5.329065E+11,5.643139E+11,7.91929E+10,3.324986E+11,3.91717E+10
2017,2.146063E+11,5.33015E+10,3.320018E+11,1.224667E+11,2.7287431E+12,3.491565E+11,2.714432E+11,6.83025E+10,1.332435E+11,1.003144E+12,5.737772E+11,8.72174E+10,7.17303E+10,8.249134E+11,3.52601E+11,1.845613E+11,1.651825E+11,2.018722E+11,2.412134E+11,6.22536E+10,4.00157E+11,5.31008E+11,5.021304E+11,3.536649E+11,1.096008E+11,3.080023E+11,4.85339E+10,1.217266E+11,1.606531E+11,8.0598E+10,5.87421E+11,9.22736E+10,1.6046499E+12,5.485221E+11,5.53947E+10,6.456368E+11,1.90553E+11,2.226016E+11,7.46441E+11,5.8085E+10,2.232667E+11,5.02325E+10,3.508387E+11,1.6732343E+12,1.686499E+11,3.22661E+10,5.111149E+11,5.194096E+11,7.48201E+10,3.183104E+11,3.69807E+10
2016,2.073684E+11,5.07277E+10,3.130814E+11,1.191524E+11,2.569634E+12,3.299117E+11,2.636703E+11,6.9355E+10,1.296486E+11,9.533525E+11,5.475467E+11,8.39144E+10,6.88374E+10,8.070432E+11,3.405007E+11,1.810114E+11,1.60451E+11,1.964849E+11,2.270907E+11,6.02544E+10,3.877334E+11,5.146376E+11,4.90264E+11,3.440608E+11,1.072914E+11,3.009145E+11,4.54909E+10,1.181459E+11,1.518404E+11,7.90901E+10,5.75501E+11,8.97694E+10,1.5513541E+12,5.260298E+11,5.19892E+10,6.232653E+11,1.812444E+11,2.113059E+11,7.265619E+11,5.73535E+10,2.151202E+11,4.91514E+10,3.364139E+11,1.5790149E+12,1.578273E+11,3.16612E+10,4.960211E+11,4.872751E+11,7.09244E+10,3.140733E+11,3.5879E+10
2015,2.023724E+11,5.14909E+10,2.993933E+11,1.177868E+11,2.4735559E+12,3.207211E+11,2.594878E+11,7.19139E+10,1.246047E+11,9.085199E+11,5.210082E+11,8.12303E+10,6.58999E+10,7.999305E+11,3.319457E+11,1.802993E+11,1.549582E+11,1.934131E+11,2.351135E+11,5.81313E+10,3.697281E+11,4.988513E+11,4.749833E+11,3.355302E+11,1.059146E+11,2.969293E+11,4.66041E+10,1.165146E+11,1.451159E+11,7.6478E+10,5.632338E+11,9.02743E+10,1.4876276E+12,5.089287E+11,5.59969E+10,6.110195E+11,1.868156E+11,2.006596E+11,7.142029E+11,5.63908E+10,2.058167E+11,4.80702E+10,3.25294E+11,1.5734984E+12,1.491534E+11,3.09333E+10,4.837865E+11,4.666897E+11,7.13185E+10,3.075079E+11,3.84269E+10
2014,1.974069E+11,5.64849E+10,2.876666E+11,1.161394E+11,2.3352865E+12,3.095426E+11,2.46597E+11,6.83547E+10,1.194146E+11,8.516924E+11,4.900793E+11,7.67733E+10,6.45752E+10,7.713561E+11,3.279583E+11,1.730959E+11,1.501836E+11,1.879838E+11,2.407373E+11,5.64108E+10,3.527613E+11,4.704685E+11,4.517732E+11,3.247514E+11,1.043003E+11,2.875075E+11,4.51772E+10,1.119459E+11,1.360087E+11,7.29952E+10,5.428428E+11,9.21857E+10,1.4309233E+12,4.831913E+11,5.99263E+10,5.956409E+11,1.966316E+11,1.881207E+11,6.941426E+11,5.45597E+10,1.943527E+11,4.67854E+10,3.061531E+11,1.5792995E+12,1.421501E+11,3.00994E+10,4.651818E+11,4.40648E+11,7.26482E+10,2.95696E+11,4.03106E+10
2013,1.947869E+11,5.72477E+10,2.785916E+11,1.132273E+11,2.2203899E+12,2.921405E+11,2.415174E+11,6.17162E+10,1.145401E+11,8.117517E+11,4.647528E+11,7.45549E+10,6.18358E+10,7.411215E+11,3.121385E+11,1.622003E+11,1.444832E+11,1.845244E+11,2.308325E+11,5.44701E+10,3.405776E+11,4.543212E+11,4.372744E+11,3.111264E+11,1.02371E+11,2.80571E+11,4.36879E+10,1.072607E+11,1.320864E+11,7.04762E+10,5.341778E+11,8.87569E+10,1.365529E+12,4.622689E+11,5.4271E+10,5.665324E+11,1.826947E+11,1.795277E+11,6.685691E+11,5.30341E+10,1.850091E+11,4.5361E+10,2.958627E+11,1.5151956E+12,1.354504E+11,2.92896E+10,4.576405E+11,4.190924E+11,7.14815E+10,2.842709E+11,3.92898E+10
2012,1.892455E+11,5.82836E+10,2.7144E+11,1.084921E+11,2.1130964E+12,2.768231E+11,2.409119E+11,6.23546E+10,1.12157E+11,7.78545E+11,4.477647E+11,7.19053E+10,5.83239E+10,7.263991E+11,3.005139E+11,1.585384E+11,1.418182E+11,1.781437E+11,2.353847E+11,5.36797E+10,3.325235E+11,4.429169E+11,4.226912E+11,2.983283E+11,1.004484E+11,2.715351E+11,4.23409E+10,1.027259E+11,1.293129E+11,6.84981E+10,5.171959E+11,8.79252E+10,1.3282335E+12,4.450953E+11,5.18326E+10,5.457401E+11,1.748744E+11,1.74611E+11,6.479259E+11,5.1583E+10,1.776181E+11,4.39015E+10,2.863415E+11,1.4211801E+12,1.295125E+11,2.92413E+10,4.459736E+11,4.005306E+11,7.03222E+10,2.771071E+11,3.88554E+10
2011,1.839166E+11,5.68963E+10,2.609157E+11,1.057681E+11,2.0235E+12,2.675161E+11,2.331587E+11,6.13722E+10,1.097304E+11,7.5524E+11,4.316539E+11,6.90839E+10,5.69411E+10,6.928808E+11,2.913561E+11,1.484776E+11,1.363589E+11,1.715869E+11,2.29945E+11,5.25755E+10,3.262812E+11,4.25523E+11,4.045547E+11,2.870393E+11,9.6218E+10,2.620671E+11,4.09951E+10,9.99211E+10,1.276779E+11,6.61532E+10,4.959658E+11,8.70628E+10,1.2476058E+12,4.317227E+11,4.15877E+10,5.281899E+11,1.662358E+11,1.706309E+11,6.248197E+11,5.02061E+10,1.720751E+11,4.18921E+10,2.698142E+11,1.3413344E+12,1.25565E+11,2.84187E+10,4.351803E+11,3.795749E+11,6.92341E+10,2.663644E+11,3.97514E+10
