,year_state,year,state_id,total_non_renew_gen,total_renew_gen,total_generation,PercentageRenewable,PercentageNonRenewable
0,2004_AK,2004,AK,5019476.93,1507234.29,6526711.22,23.093319731710146,76.90668026828985
1,2004_AL,2004,AL,122803647.2979,14524489.4221,137328136.72,10.576484738676792,89.42351526132322
2,2004_AR,2004,AR,46245778.07,5579442.75,51825220.82,10.765883216163399,89.2341167838366
3,2004_AZ,2004,AZ,91929737.78,6967969.23,98897707.01,7.045632745858746,92.95436725414125
4,2004_CA,2004,CA,136588036.732,56221539.278,192809576.01,29.159101140850023,70.84089885914999
5,2004_CO,2004,CO,46607508.05,1257982.88,47865490.93,2.6281624936004806,97.37183750639952
6,2004_CT,2004,CT,31144789.748,1418010.382,32562800.13,4.354694241093817,95.64530575890619
7,2004_DC,2004,DC,36487.0,0.0,36487.0,0.0,100.0
8,2004_DE,2004,DE,7502541.54,0.0,7502541.54,0.0,100.0
9,2004_FL,2004,FL,209720993.877,5409790.183,215130784.06,2.514651822907506,97.48534817709249
10,2004_GA,2004,GA,120734333.6524,5990910.0676,126725243.72,4.727479617902289,95.27252038209771
11,2004_HI,2004,HI,10721368.31,692096.56,11413464.870000001,6.063860255260066,93.93613974473993
12,2004_IA,2004,IA,41142382.42,2097775.44,43240157.86,4.851451853603385,95.14854814639662
13,2004_ID,2004,ID,1827647.11,8906759.62,10734406.729999999,82.97393460141416,17.026065398585846
14,2004_IL,2004,IL,191053294.06,811026.5599999999,191864320.62,0.4227083792229884,99.577291620777
15,2004_IN,2004,IN,126774679.85,587194.72,127361874.57,0.461044344693018,99.53895565530698
16,2004_KS,2004,KS,46411474.18,369426.0,46780900.18,0.7896940815130762,99.21030591848692
17,2004_KY,2004,KY,90338067.48,4191879.23,94529946.71000001,4.4344457771248855,95.56555422287512
18,2004_LA,2004,LA,87603401.39,4088650.89,91692052.28,4.45911154601981,95.54088845398019
19,2004_MA,2004,MA,44956861.26,1934259.9,46891121.16,4.1250024570749675,95.87499754292503
20,2004_MD,2004,MD,48880045.728,3172722.352,52052768.08,6.095203903707555,93.90479609629246
21,2004_ME,2004,ME,11724355.2177,7139307.1023,18863662.32,37.84687713970911,62.1531228602909
22,2004_MI,2004,MI,115350469.361,3023680.959,118374150.32000001,2.554342270526212,97.44565772947378
23,2004_MN,2004,MN,49700203.278,2681040.482,52381243.76,5.1183215394502115,94.8816784605498
24,2004_MO,2004,MO,86000005.79,1222395.45,87222401.24000001,1.4014696140232057,98.59853038597679
25,2004_MS,2004,MS,38769314.17,1567492.4300000002,40336806.6,3.886010227691153,96.11398977230886
26,2004_MT,2004,MT,17866494.96,8909852.99,26776347.950000003,33.275086679623165,66.72491332037683
27,2004_NC,2004,NC,118931395.524,7254881.036,126186276.56,5.749342348294424,94.25065765170558
28,2004_ND,2004,ND,29575621.83,1765989.68,31341611.509999998,5.634648618615336,94.36535138138467
29,2004_NE,2004,NE,31017735.45,990968.28,32008703.73,3.095933807126403,96.9040661928736
30,2004_NH,2004,NH,21640398.328,2252460.582,23892858.91,9.427338061487761,90.57266193851224
31,2004_NJ,2004,NJ,55017310.032,663099.628,55680409.66,1.1909029262698856,98.80909707373011
32,2004_NM,2004,NM,32287947.91,652411.8,32940359.71,1.980584929076963,98.01941507092303
